"GID","ENSEMBL","ENSEMBLTRANS","ENSEMBLPROT"
106895338,"ENSCPUG00000003749","ENSCPUT00000006204.1","ENSCPUP00000005113.1"
106895338,"ENSCPUG00000003749","ENSCPUT00000006211.1","ENSCPUP00000005119.1"
106887855,"ENSCPUG00000003015","ENSCPUT00000004861.1","ENSCPUP00000004001.1"
106896524,"ENSCPUG00000014534","ENSCPUT00000025191.1","ENSCPUP00000021302.1"
106896524,"ENSCPUG00000014534","ENSCPUT00000025190.1","ENSCPUP00000021301.1"
106893323,"ENSCPUG00000011941","ENSCPUT00000020545.1","ENSCPUP00000017336.1"
106902335,"ENSCPUG00000012889","ENSCPUT00000022267.1","ENSCPUP00000018766.1"
106899099,"ENSCPUG00000010773","",""
106899099,"ENSCPUG00000010773","ENSCPUT00000018430.1","ENSCPUP00000015546.1"
106901037,"","",""
106902503,"ENSCPUG00000013131","ENSCPUT00000022633.1","ENSCPUP00000019063.1"
106902503,"ENSCPUG00000013131","ENSCPUT00000022638.1","ENSCPUP00000019064.1"
106884920,"ENSCPUG00000016663","",""
106884920,"ENSCPUG00000016663","ENSCPUT00000029009.1","ENSCPUP00000024617.1"
106884920,"ENSCPUG00000016663","ENSCPUT00000029007.1","ENSCPUP00000024615.1"
106888161,"","",""
106894989,"ENSCPUG00000001910","ENSCPUT00000002991.1","ENSCPUP00000002472.1"
106901707,"ENSCPUG00000009030","ENSCPUT00000015171.1","ENSCPUP00000012712.1"
106886409,"","",""
106892272,"ENSCPUG00000017562","ENSCPUT00000030728.1","ENSCPUP00000026072.1"
106887107,"","",""
106902175,"ENSCPUG00000007718","",""
106902175,"ENSCPUG00000007718","ENSCPUT00000012984.1","ENSCPUP00000010887.1"
106902175,"ENSCPUG00000007718","ENSCPUT00000013002.1","ENSCPUP00000010904.1"
106902175,"ENSCPUG00000007718","ENSCPUT00000012989.1","ENSCPUP00000010892.1"
106890540,"","",""
106897484,"","",""
106892210,"","",""
106885065,"","",""
106897988,"","",""
106886961,"","",""
106895910,"ENSCPUG00000008254","ENSCPUT00000013909.1","ENSCPUP00000011679.1"
106891817,"","",""
106902087,"","",""
106891384,"","",""
106886496,"","",""
106892081,"","",""
106894350,"","",""
106892353,"","",""
106886933,"","",""
106895230,"","",""
106889249,"ENSCPUG00000007008","ENSCPUT00000011807.1","ENSCPUP00000009879.1"
106889268,"","",""
106893620,"","",""
106899012,"","",""
106895577,"","",""
106895576,"ENSCPUG00000002443","",""
106895576,"ENSCPUG00000002443","ENSCPUT00000003871.1","ENSCPUP00000003187.1"
106888590,"","",""
106895271,"","",""
106892208,"","",""
106892205,"ENSCPUG00000014707","ENSCPUT00000025526.1","ENSCPUP00000021593.1"
106892205,"ENSCPUG00000014707","",""
106893603,"ENSCPUG00000005546","ENSCPUT00000009289.1","ENSCPUP00000007713.1"
106893603,"ENSCPUG00000005546","",""
106885568,"","",""
106888795,"","",""
106891035,"ENSCPUG00000004814","ENSCPUT00000007999.1","ENSCPUP00000006630.1"
106891035,"ENSCPUG00000004814","ENSCPUT00000007998.1","ENSCPUP00000006629.1"
106890622,"ENSCPUG00000018627","ENSCPUT00000032555.1","ENSCPUP00000027670.1"
106885091,"","",""
106890590,"","",""
106896774,"","",""
106902258,"ENSCPUG00000007711","ENSCPUT00000012969.1","ENSCPUP00000010873.1"
106902258,"ENSCPUG00000007711","",""
106896679,"ENSCPUG00000003433","",""
106896679,"ENSCPUG00000003433","ENSCPUT00000005611.1","ENSCPUP00000004630.1"
106885933,"ENSCPUG00000008807","ENSCPUT00000014796.1","ENSCPUP00000012435.1"
106886914,"","",""
106891649,"ENSCPUG00000010304","ENSCPUT00000017497.1","ENSCPUP00000014709.1"
106885411,"ENSCPUG00000010790","",""
106885411,"ENSCPUG00000010790","ENSCPUT00000018419.1","ENSCPUP00000015535.1"
106901574,"","",""
106897300,"","",""
106890307,"ENSCPUG00000016796","",""
106890307,"ENSCPUG00000016796","ENSCPUT00000029231.1","ENSCPUP00000024809.1"
106890675,"ENSCPUG00000009878","ENSCPUT00000016669.1","ENSCPUP00000013973.1"
106890675,"ENSCPUG00000009878","",""
106900051,"","",""
106902571,"ENSCPUG00000010425","ENSCPUT00000017736.1","ENSCPUP00000014933.1"
106902571,"ENSCPUG00000010425","",""
106895215,"","",""
106895123,"ENSCPUG00000004702","ENSCPUT00000007809.1","ENSCPUP00000006456.1"
106895123,"ENSCPUG00000004702","",""
106885986,"ENSCPUG00000015627","",""
106885986,"ENSCPUG00000015627","ENSCPUT00000027114.1","ENSCPUP00000022999.1"
106889202,"ENSCPUG00000006164","",""
106889202,"ENSCPUG00000006164","ENSCPUT00000010294.1","ENSCPUP00000008581.1"
106896336,"ENSCPUG00000010104","ENSCPUT00000017116.1","ENSCPUP00000014365.1"
106888955,"ENSCPUG00000017003","",""
106888955,"ENSCPUG00000017003","ENSCPUT00000030133.1","ENSCPUP00000025543.1"
106896985,"ENSCPUG00000007255","ENSCPUT00000016155.1","ENSCPUP00000013541.1"
106895426,"ENSCPUG00000017528","ENSCPUT00000030661.1","ENSCPUP00000026012.1"
106899026,"ENSCPUG00000014259","",""
106899026,"ENSCPUG00000014259","ENSCPUT00000024688.1","ENSCPUP00000020837.1"
106885788,"ENSCPUG00000015533","ENSCPUT00000027103.1","ENSCPUP00000022990.1"
106885788,"ENSCPUG00000015533","",""
106888784,"ENSCPUG00000016952","ENSCPUT00000029532.1","ENSCPUP00000025049.1"
106889927,"ENSCPUG00000003600","ENSCPUT00000008022.1","ENSCPUP00000006652.1"
106893092,"ENSCPUG00000001894","ENSCPUT00000002970.1",""
106889473,"ENSCPUG00000018406","",""
106889473,"ENSCPUG00000018406","ENSCPUT00000032193.1","ENSCPUP00000027349.1"
106884862,"","",""
106892701,"ENSCPUG00000011946","ENSCPUT00000020552.1","ENSCPUP00000017340.1"
106886578,"ENSCPUG00000009175","ENSCPUT00000015440.1","ENSCPUP00000012919.1"
106896909,"ENSCPUG00000005933","ENSCPUT00000009900.1","ENSCPUP00000008228.1"
106896909,"ENSCPUG00000005933","",""
106890291,"ENSCPUG00000017087","ENSCPUT00000029789.1","ENSCPUP00000025269.1"
106890291,"ENSCPUG00000017087","ENSCPUT00000029790.1","ENSCPUP00000025270.1"
106893604,"ENSCPUG00000005573","ENSCPUT00000009476.1","ENSCPUP00000007856.1"
106902645,"ENSCPUG00000017426","ENSCPUT00000030471.1","ENSCPUP00000025846.1"
106897928,"","",""
106895189,"ENSCPUG00000008325","ENSCPUT00000013992.1","ENSCPUP00000011751.1"
106892675,"ENSCPUG00000011976","ENSCPUT00000020594.1","ENSCPUP00000017380.1"
106892675,"ENSCPUG00000011976","",""
106901792,"ENSCPUG00000009510","ENSCPUT00000016017.1","ENSCPUP00000013417.1"
106889510,"","",""
106900417,"ENSCPUG00000010023","ENSCPUT00000016957.1","ENSCPUP00000014240.1"
106887871,"ENSCPUG00000001972","ENSCPUT00000003108.1","ENSCPUP00000002577.1"
106884713,"ENSCPUG00000000153","ENSCPUT00000000229.1","ENSCPUP00000000191.1"
106893302,"ENSCPUG00000017855","ENSCPUT00000031248.1","ENSCPUP00000026529.1"
106893302,"ENSCPUG00000017855","ENSCPUT00000031249.1","ENSCPUP00000026530.1"
106893302,"ENSCPUG00000017855","ENSCPUT00000031251.1","ENSCPUP00000026532.1"
106891421,"ENSCPUG00000010472","ENSCPUT00000017829.1","ENSCPUP00000015018.1"
106895152,"ENSCPUG00000004354","",""
