"GID","GENETYPE"
106901364,"protein-coding"
106897025,"protein-coding"
106886257,"protein-coding"
106889111,"protein-coding"
106891741,"protein-coding"
106898383,"protein-coding"
106898355,"protein-coding"
106889845,"protein-coding"
106896004,"protein-coding"
106886144,"protein-coding"
106897708,"protein-coding"
106900018,"protein-coding"
106886502,"protein-coding"
106902706,"protein-coding"
106897192,"protein-coding"
106887476,"protein-coding"
106889413,"protein-coding"
106896367,"protein-coding"
106900362,"protein-coding"
106885248,"protein-coding"
106898152,"protein-coding"
106891765,"protein-coding"
106890293,"protein-coding"
106901727,"protein-coding"
106898463,"protein-coding"
106891074,"protein-coding"
106892390,"protein-coding"
106895774,"protein-coding"
106898841,"protein-coding"
106888277,"protein-coding"
106892432,"protein-coding"
106894994,"protein-coding"
106896176,"protein-coding"
106900689,"protein-coding"
106890246,"protein-coding"
106887687,"protein-coding"
106897095,"protein-coding"
106897043,"protein-coding"
106894825,"protein-coding"
106898936,"protein-coding"
106898112,"protein-coding"
106897208,"protein-coding"
106898722,"protein-coding"
106901761,"protein-coding"
106897244,"protein-coding"
106886416,"protein-coding"
106889169,"protein-coding"
106892122,"protein-coding"
106891960,"protein-coding"
106900900,"protein-coding"
106886932,"protein-coding"
106887230,"protein-coding"
106884812,"protein-coding"
106902668,"protein-coding"
106896746,"protein-coding"
106901100,"protein-coding"
106893429,"protein-coding"
106894372,"protein-coding"
106886556,"protein-coding"
106896083,"protein-coding"
106890718,"protein-coding"
106896771,"protein-coding"
106887159,"protein-coding"
106885226,"protein-coding"
106893499,"protein-coding"
106901206,"protein-coding"
106892316,"protein-coding"
106893155,"protein-coding"
106885246,"protein-coding"
106895296,"protein-coding"
106895995,"protein-coding"
106893151,"protein-coding"
106902485,"protein-coding"
106900334,"protein-coding"
106893086,"protein-coding"
106896781,"protein-coding"
106889273,"protein-coding"
106887653,"protein-coding"
106891669,"protein-coding"
106894228,"protein-coding"
106894613,"protein-coding"
106898444,"protein-coding"
106896333,"protein-coding"
106885896,"protein-coding"
106887395,"protein-coding"
106889457,"protein-coding"
106892635,"protein-coding"
106894600,"protein-coding"
106894749,"protein-coding"
106901377,"protein-coding"
106890892,"protein-coding"
106891098,"protein-coding"
106894080,"protein-coding"
106896785,"protein-coding"
106884789,"protein-coding"
106888050,"protein-coding"
106900145,"protein-coding"
